Date,Open*,High,Low,Close,Volume,Market Cap
20-Feb-17,0.005879,0.005949,0.00574,0.005873,880117.00 ,217802000.00 
21-Feb-17,0.005871,0.005909,0.005735,0.005832,653081.00 ,217476000.00 
22-Feb-17,0.005849,0.005887,0.005817,0.00586,500712.00 ,216670000.00 
23-Feb-17,0.005856,0.005943,0.005798,0.005895,750533.00 ,216920000.00 
24-Feb-17,0.005883,0.005919,0.005644,0.005701,1343690.00 ,218524992.00 
25-Feb-17,0.0057,0.005743,0.005628,0.005665,684577.00 ,211712000.00 
26-Feb-17,0.005664,0.005733,0.005651,0.005671,258373.00 ,210392000.00 
27-Feb-17,0.005665,0.005696,0.005608,0.005609,641126.00 ,210424992.00 
28-Feb-17,0.005608,0.005631,0.005438,0.005536,1693350.00 ,208296992.00 
1-Mar-17,0.005525,0.005547,0.005372,0.005408,1630460.00 ,205222000.00 
2-Mar-17,0.005419,0.006217,0.005408,0.005991,3811500.00 ,201300992.00 
3-Mar-17,0.005988,0.006346,0.005968,0.006339,2703850.00 ,224008992.00 
4-Mar-17,0.006354,0.006497,0.006278,0.006299,1372440.00 ,237670000.00 
5-Mar-17,0.00629,0.006389,0.006129,0.006129,1044760.00 ,235300992.00 
6-Mar-17,0.006129,0.006221,0.006047,0.006057,1023500.00 ,229280000.00 
7-Mar-17,0.006057,0.006577,0.005974,0.006534,2901920.00 ,226570000.00 
8-Mar-17,0.006551,0.006776,0.006363,0.006509,3432500.00 ,245051008.00 
9-Mar-17,0.006485,0.006606,0.006423,0.006498,2064660.00 ,242570000.00 
10-Mar-17,0.006503,0.006546,0.00605,0.006227,3144440.00 ,242488000.00 
11-Mar-17,0.006229,0.006383,0.00613,0.006238,1818590.00 ,232266000.00 
12-Mar-17,0.006214,0.006313,0.006086,0.006255,1531030.00 ,231720992.00 
13-Mar-17,0.006271,0.006429,0.006156,0.006385,2561890.00 ,233852992.00 
14-Mar-17,0.006346,0.006406,0.006277,0.006381,1358830.00 ,236634000.00 
15-Mar-17,0.00637,0.0065,0.006301,0.006314,1376090.00 ,237552000.00 
16-Mar-17,0.006319,0.006409,0.006213,0.006394,3860210.00 ,235622000.00 
17-Mar-17,0.006406,0.006406,0.00597,0.006116,3442010.00 ,239192992.00 
18-Mar-17,0.006137,0.007396,0.006118,0.00671,7223300.00 ,229142000.00 
19-Mar-17,0.006736,0.007198,0.006556,0.006912,4241970.00 ,251511008.00 
20-Mar-17,0.006915,0.007112,0.006761,0.006975,3423710.00 ,258208000.00 
21-Mar-17,0.006996,0.007075,0.006792,0.006909,3021440.00 ,261234000.00 
22-Mar-17,0.006908,0.00746,0.006882,0.007301,4652530.00 ,257915008.00 
23-Mar-17,0.007284,0.010582,0.007258,0.010582,12315100.00 ,271964992.00 
24-Mar-17,0.010528,0.010825,0.009135,0.010518,24493700.00 ,393620000.00 
25-Mar-17,0.010502,0.010711,0.00904,0.009116,11334900.00 ,392673984.00 
26-Mar-17,0.009159,0.00984,0.009079,0.009545,5475230.00 ,342448000.00 
27-Mar-17,0.009482,0.010053,0.009155,0.009597,6336150.00 ,354513984.00 
28-Mar-17,0.009568,0.009644,0.00928,0.009514,3111280.00 ,357724000.00 
29-Mar-17,0.009526,0.010101,0.00952,0.010101,3344230.00 ,356171008.00 
30-Mar-17,0.010125,0.014126,0.010125,0.013276,19821800.00 ,378563008.00 
31-Mar-17,0.013049,0.021776,0.013049,0.020889,72699400.00 ,487884992.00 
1-Apr-17,0.021743,0.022798,0.019664,0.021892,30657700.00 ,812963008.00 
2-Apr-17,0.021938,0.071441,0.021696,0.061159,230622000.00 ,820232000.00 
3-Apr-17,0.060291,0.061594,0.027447,0.033023,155550000.00 ,-2033167360.00 
